text,label_words,label,predicted_labels
피해여자가 더 않생기게 법률보완하고 상담할수 있는곳이 많아 져야 됩니다 그런데 말입니다 남자가 다 그런것처럼 여론 몰이 하지 맙시다 그리고 와국여자 때문에 남자가 엄청 당하는 것도 취재 하세요,Racism,[5],['5']
걔는 정신병원에 입원해야할 인간이 양궁 훈련하고 있네,Disabled,[4],['0']
하 할배놈들 주문할 때 말 좀 똑바로 해라 쟁반으로 머가리 후려치기 전에,VIOLENCE,[10],"['1', '9']"
왜 이슈지 ㅋㅋ 쌍도가 쌍도지 그럼 뭐라해 씨팔,Origin,[7],['7']
백인들은 머리가 작아서 비율이 좋아,IMMORAL_NONE,[0],['5']
저새끼들은 지들 자식새끼가 외국인이니까 저 지랄들임 국회의원 자격요건에 직계가족에 외국인 있으면 자격요건 미달을 박아야함,Racism,[5],['5']
머구가 대한민국 전체 초토화 한건 기억 못하고전라도가 퍼뜨리니깐 이때다 싶은거야? ㅋ,Origin,[7],['0']
노가다 일베충 새끼들 ㅂㄷㅂㄷ하는거 보소ㅋㅋㅋㅋㅋ 그러니까 공부좀 하지그랬노?,Education,[1],['0']
취업 면접 보는데 여자 남자 질문이 다르면 그건 성차별이죠.,IMMORAL_NONE,[0],['1']
진짜 우리 집앞 지하철의 거지가 딱 얼어죽기 좋은 날씨다ㅎㅎ,VIOLENCE,[10],['1']
상폐년한테 돈받아도 모자랄판에 호구뜯기고있네 ㅋㅋㅋ,Age,[9],['9']
하는 짓보면 명예 홍어가 박사모 아니냐?ㅋㅋㅋㅋㅋ,Origin,[7],['7']
그런 사람들이 우리 커뮤니티를 망치지,CENSURE,[1],['1']
@se 노망나가치구 키위 장례식장에서 총기난사하는 니거앱2임 ㅋㅋㅋㅋㅋㅋㅋㅋ,Age,[9],['5']
트젠 여성들 뒷치기 해보고 싶네 ㅋㅋㅋ,SEXUAL,[11],"['1', '8']"
인구구조로 인해 베트남인들의 평균 연령은 낮은 편이야.,IMMORAL_NONE,[0],['5']
웃겨보여도본질적으로는 맞는 말임지금 586 세대가좆팔육이라고 손가락질 받는다고뭔가 불이익 받냐?걍 각자잘먹고 잘살면 그만인 거임특정 집단에 대한후세의 평가?ㅋㅋ,Age,[9],['0']
고졸도 못한새끼가 당연히 면접떨어지지 정신병자새끼,Education,[1],['1']
진짜 개보다 못한 인생 자살이 답이다,VIOLENCE,[10],['1']
너같이 다리 한쪽 눈한쪽 없는 새끼들은 병신이라고 하는거임 이 모질한 새끼야,Disabled,[4],['2']
"절름발이처럼 왜 그렇게 걸어, 똑바로 걸어!",Disabled,[4],['5']
"전라도 친구앙그라 마이뉴""세상에 존재하는 모든 악 """,Origin,[7],['7']
뭔 개소린지 모르겠네 90아재다,profanity,[2],"['1', '9']"
예쁜똥꼬충에다가 안전하기까지하면 난찬성,Gender,[8],['8']
애구당 알바 틀딱 할배들한테 돈받아라,Age,[9],['9']
그니까요 뭐 ;;경찰의 무능함을 느끼네요,CENSURE,[1],['1']
이건 일부교회 일부목사의 일이 아닙니다 . 대다수 개신교도가 그렇고 거의 모든 목사가 저모양 입니다 . 정말 양심있고 사회의 지도자가 될 수 있는 목사는 손톱속의 때만큼도 안됩니다 .,Religion,[6],['6']
와 얘네 믿고 거르는 쌍도 남자 모르나봄.,Origin,[7],['7']
ㅅㅂ 궁 장전,profanity,[2],"['5', '9']"
솔직히 다른걸로는 깔 수 있어도 외모로는 못 깜 ㅋㅋㅋㅋ,Appearance,[3],['3']
컴퓨터를 오래 봤더니 눈이 빠질것같아,IMMORAL_NONE,[0],['1']
다 뒤져야되는데,VIOLENCE,[10],['1']
다문화 극혐 맞고 다인종도 위험하긴 한데어차피 일베서 아무리 극혐씹극혐 소리 해봤자 변하는거 없음 뭐 존나 뭉쳐서 시위해야 윗대가리들이 들을랑말랑하는데 우리 일베충들이 그럴 위인들이 얼마나 있을까?그냥 글러먹었다 생각하고 자기살길이나 찾으면 된다,Racism,[5],['5']
전라도 지역에 깡패가 많다는 인식은 군부독재정권 시절에 그러한 편견을 갖게 만들어서 나타난 결과야,IMMORAL_NONE,[0],['7']
"그 나이먹고 중졸인 주제에 월급은 무슨, 일을 시켜준 것만으로 다행이라 여겨야지",CENSURE,[1],"['1', '9']"
사람 장애인 만든 드라마 재밌다고 깔깔대네 ㅋ 댓글 성비봐라ㅋ 이런거 보면 드라마에 미친 여자들이 더 생각없고 사이코패스야,Disabled,[4],"['1', '4']"
아무한테나 다주고 다니는데 나는 왜 저런애도 못먹을까,SEXUAL,[11],"['1', '9']"
느그마 구멍에 횐장한 틀딱쟁이 는 잘있노?,Age,[9],['9']
똥꼬충이노ㅋㅋㅋㅋㅋ,Gender,[8],['8']
인구절벽 이지랄 앞으로 신입들 충원 좆같이 되서 촉탁직 겁나 티오 쏟아질듯 ㅋㅋㅋㅋ,profanity,[2],['5']
경기중에 식빵거리는거 천박하기 이를 데 없음.,CENSURE,[1],['1']
너는 입이 문제같아 접착제 붙여 입다물게 붙여버릴까?,VIOLENCE,[10],"['1', '9']"
아니 동성애가 싫을 순 있지만 왜 죽이거나 때리고 그럴까 ㅜㅜ,Gender,[8],['8']
걸고 졌으면 뒤져야지 뭔 혓바닥이 이렇게 길어?,CENSURE,[1],['1']
동성애는 치료받아야하는 정신병이다!,Gender,[8],['8']
니가 이럴때마다 진짜 매가 약이라는게 이해가 된다,VIOLENCE,[10],['1']
게이조차 똥송하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"Gender, Racism","[8, 5]",['8']
일분내 생각하지않으면 칼로 찌르겠다,VIOLENCE,[10],['1']
저 일반인 시리즈 있는데 어떻게 팔면 되죠?,SEXUAL,[11],['1']
이쁘고 자식있는 유부녀 강간하고 싶다,SEXUAL,[11],"['1', '9']"
똥꼬충들 극혐,Gender,[8],['8']
절라도가 낫냐? 무슬림이 낳냐?,"Origin, Religion","[7, 6]","['6', '7']"
비정상은 아닌데 붕신이지.,Disabled,[4],['0']
스시녀가 역시 생생하고 할 맛이 나지 맛있게,SEXUAL,[11],['1']
박정희향수에 젖어서 그의 딸까지 떠받들고 사는 한국의 보수늙은이들의 모습에서 정치의 해괴함을 느낀다.,Age,[9],['9']
냄져새끼들 군무군무 예민함 별거아닌거 갖고 자들대는 꼬라지 ㅉㅉ 소추소심이 진리라는걸 다시 느끼고 감,Appearance,[3],['0']
동성애는 반인륜적인 행위이다. 동성애는 죄앙이다.,Gender,[8],['8']
저게도 조선족새끼들이 숨어들어있겠지,Racism,[5],['5']
이색히 얼굴봐라.옛날 동방신기 모습이 남아있냐?술.마약.여자에 찌든 전형적인 아재얼굴이지,Appearance,[3],['0']
미국에서 오셨다고 알고있는데 한국어를 참 잘하시네요,IMMORAL_NONE,[0],['5']
가슴 커서 볼 때마다 꼴려,SEXUAL,[11],['1']
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 올렸냐 시발,profanity,[2],['2']
저못생긴 적폐형제 안보게되소 좋다,Appearance,[3],['3']
ㅆㅂ된장국을 얼굴에 달려줘라,profanity,[2],['1']
may i ask a question? are you pig?,profanity,[2],['1']
일본이 근대화에 일찍 성공했지.,IMMORAL_NONE,[0],['5']
아 그러냐 미안타 내가 쌍돈데 안하려고 해도 종특인지 자제가 안되그리고 지역구조 때문에 그런줄 몰랐네너 쌍도사냐 왜이리 잘아냐,Origin,[7],['7']
그것도 있고 일단 버리는 국민들 국민성부터 큰일 난 거 아니냐,CENSURE,[1],['1']
남자새끼가 뭔 화장이야,Appearance,[3],['0']
진짜 인종 정리그리고 국가 정리좀 해야할듯 한국인은 포함 될라나 ?,Racism,[5],['5']
너무 느끼하게 성형했어ㅠ 적당히 성형했어야짓,Appearance,[3],['3']
전역 후 부사관 시험 다시 봐서 여군으로 입대 추천.. 근데 여 부사관 지원생들이 가만히 있으려나 모르겠네..,Gender,[8],['1']
저것봐라 저새끼들 난민 아니라니까ㅋㅋㅋㅋ 진짜 난민은 저새끼들이 전쟁터에 내버리고온 여자들이고 저것들은 난민가장한 먹버노 남의 나라와서 징징대지말고 니들 나라가서 니들이 똥싸논거나 치워라 좆팔,Racism,[5],['5']
와....저거 여자 나체 그림이었어봐라. 백프로 성적 모욕이니 뭐니 해서 난리났을텐데...진짜 이 나라는 너무 비상식적이다.게이 세끼들은 스스롤르 얼마나 성적으로,Gender,[8],['0']
한국에서도 짱깨새끼들한테도 사람취급 못받는기생충만도 못한 쓸모없는 씹새끼들,Racism,[5],['5']
버스정류장에 앉아 있는데 가슴 개 큰 여자가 출렁이면서 오는데 지릴 뻔,SEXUAL,[11],['1']
틀딱들 운전면허 강제로 회수해야하는데,Age,[9],['9']
문벌레충들아 잘한거 1이라도 말해봐 코리아가 아니고 코리안이 잘한거지 문폐렴은 세계 정서에 반하는 동북공정에 앞장서 신남방정책이라 부르며 짱개몽에 혼밥처먹고 짱개에 충성하는 동남아 총아를 이루며 자국민을 짱개 예속국민으로 만들 뿐이다 더러운사상을 가진 정신병자다,Racism,[5],['5']
"근데, 바지도 찰싹 붙어서 엉덩이 터질 것 같더라.",SEXUAL,[11],['1']
우리아버지도 전라도 참싫어하셔서 나도 그 맥 잘 이어가고있다.,Origin,[7],['7']
"개슬람 좆논리갑외국인이라도 우리나라오면 개슬람 따라야한다하지만, 우리가 외국에 나가면 개슬람문화 지켜야한다???진짜 개애미디진 논리중에 갑이라 생각함","Racism, Religion","[5, 6]","['5', '6']"
총들고 가서 다 쏴죽이고 싶다,VIOLENCE,[10],['1']
애매하면 군대에 있는 애들 갖다 써~,CENSURE,[1],['1']
씹 파오후네 ㅋㅋㅋ,profanity,[2],['5']
나한테 이슬람좆들 칼푹찍할 권리를 달라이기 조팔것들,"Racism, Religion","[5, 6]",['0']
정치인생이 몇 년인데 정치적 자산이 딸년밖에 없냐,CENSURE,[1],"['1', '9']"
이 새끼들이 할줄 아는게광주사태 세월호 반일 딱 3개임,profanity,[2],['0']
경찰말 안들으면 유도기술 걸어서 장애인으로 만드는게 맞냐?,Disabled,[4],['0']
씨발새끠......,profanity,[2],['1']
근데 진짜 아랍계좆린이는 진리노. 저기 자집애들 유통기한 짧아서 12살 넘기기 전에 따먹어야 함ㅋㅋㅋ물론 한남은 몇살이든 폐기상품각. 이슬람 좆린이 수입들어오면 상품폐기각 한남충 따묵으려는 련들 1도 없다는거 알아서 좆들거리노ㅋㅋㅋㅋ,Racism,[5],['6']
피 한방울 안 튀기고 몸 갈리는 것도 예술일세,VIOLENCE,[10],['1']
씨발 라도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Origin,[7],['0']
그럼 너거나라 가세요 짱깨들아,Racism,[5],['5']
시바 나도 엊그제 갔다가보고왔는데 먼저올린켤,profanity,[2],['5']
코로나로 온갖 사회 병폐들 다 기어나온다 신천지에 게이에 ㅡㅡ 지들 아웃팅 걱정했으면 애초에 클럽따위 안갔겠지 지금 이 시국에 게이클럽가고 쳐노는건 내 동선이 까발려져도 괜찮다하는거랑 똑같은거 아님?,"Gender, Religion","[8, 6]",['8']
누가 전화와서 일시켜서.. 꿀빨다가 그만 먹으라니까 벙어리 짓 하는 수준,Disabled,[4],['1']
이래서 개슬람은 안된다~ 지구상의 악마종교가 바로 개슬람~ 테러를 개슬람이 일으키고 있는 것이 명확한 증거지~ 사랑과 평화는 개뿔이고~ 오직 전쟁과 피를 원하는게 알라지~,Religion,[6],['1']
소추왜이리 박혔나 했더니 워딩조팔ㅋㅋㅋ윾입이노,profanity,[2],['1']
너 하반신 마미냐?,CENSURE,[1],['1']
너는 집지어 나는 들어가서쉴게 ㅇㅈ? 여기관리자는 죄다 특성화임 특성화+전라도가문 ㅇㅈ? 그래서 머리도안굴러감 인원부족이랍시고 북한군 제시할때부터 대가리안굴러간다는걸 알았음 @r 너요너 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 병신새끼야 국군이 인원부족임 병신새끼야 특성화새끼들은기본지식도없지 병신들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 루틴님 어디도망가심 오셈 안오고머하짐 야 병신3ㅁ형제 로시 수박(대깨문) 루틴(칠성파 두목님) 돌아와 이하남자새끼들앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 느그셋다창신대전문대에꼬라박아라 ㅄ놈들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 도망감ㅄ들ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 도장깨기격파성공한거인정해 ㅅㅂㅄ들아 ㅇㅈ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ도망감 ㅄ들인간미도없네 이병신소금쓸개노예들은 밤새소금쓴다고온라인임 ㅋㅋ불면증이나극복하셔 ㅄ들아 ㅇㅈ해라 ㅇㅈ zㅋ ㅋㅋ 그냥 병신새끼들이네 하는 말마다 무지함만 들어서 어디서 주워먹은 단어만 구구절절 늘어놓음 저단 새끼들 지인으로 두려다가 이번 기회에 제대로 알게됐음 진짜 특성화는 걸러야한다 그리고 코캔방유저들은 다장애인이다 와 님들 이방 망함 나가셈 ㅇㅈ?,Education,[1],['1']
홍어 좌빨분탕에 웜퇘지들 대거 일베로 유입되면 누가 진성일게이인지 피아식별도안되겠네 대거 모여들어 피터지는 전쟁터가 되겠구만 과연 문재앙정권에서 일베가 생존할수있을지 궁금하노,Origin,[7],"['1', '9']"
"""위원장님은 개뿔 언제부터 무단점거중인 독재자새끼한테 칭호붙여가며소개해줬냐""",Disabled,[4],['1']
아동성애호자가 정신병이듯 게이도 정신병이다.,Gender,[8],['1']
"뭐야, 이딴 영상이나 볼 만큼 할 일이 없냐?",CENSURE,[1],['1']
개쌍도 왜구 ㅅㄲ 갱생불과 화장형 요망,"Racism, Origin","[5, 7]",['1']
그렇게도 믿는 하나님이 신천지구 교회구 디 버린거같다..니들표현대로 마귀든 시험이든 암튼 버린거같으니 제발 집구석에좀 있어~~니네 신이 네 이웃을 사랑하라하지 않았냐?!!제발쫌~~그 이웃이 고통받고있다..,Religion,[6],"['1', '9']"
홍어새끼들 저렇게 도와주는것도 조롱하더라 금수같은 새끼들임,Origin,[7],['1']
남궁 제갈 이런거 말고 성 두글자다 쓰는거 나만 븅띤 같냐?,Disabled,[4],['1']
남미 여행 갔다가 집단 강간 당하고 참수 당한 한국인도 있었잖아어디 위험구역에 갔다 봉변당한게 아니라 볼리비아 무슨섬인가 존나 유명한 관광지였는데도 그리 됐다더라,Racism,[5],['1']
그냥 가면 쓰고 다니는 게 낫겠더라,CENSURE,[1],['1']
사람 긁는데 뭐있네 너네집 주소 불러 그냥 오늘가서 불지르고 올라니까,VIOLENCE,[10],['1']
아.. 진심 혐오스럽다. 난 게이나 레즈 이해하는데 저렇게 옷벗고 길거리에서 깽판치는 건 진심 혐오감 든다..,Gender,[8],['1']
역사를 잊은민족은 줫도 없다면서? 이제 진짜 돌이킬수 없다.,profanity,[2],['1']
일단 노무현 존나 질림 12년째 지랄하는건데 소스도 다끝난지가 몇년 지남그리고 씹 노인새끼들이 노무현 빨아줄생각도 없어보임그냥 뉴페이스 최태민 빨면 되는거임,Age,[9],['1']
"""꼴매미 아웃! 매미니즘은 정신병이다!""",Disabled,[4],['1']
ㅈ 럴 말고 세금이나 떼자..,profanity,[2],['1']
쟤네 원래 저러고 다녓슴 저짝도 급식들은 범죄처벌 약해서 젤 무서움,Age,[9],['1']
정신병원에 가두기 전에 닥치고 방 안에 들어가,Disabled,[4],['1']
정신병원 가셔야 할 듯 해요 좌뇌가 고장나신 듯,Disabled,[4],['1']
문과생들은 아무래도 유사과학에 잘속아..,IMMORAL_NONE,[0],['1']
"#@#액 맛이 어때? 어떤 년은 상관없이 그냥 먹고, 어떤 년은 꼭 휴지로 닦거나 뱉고, 어떤 맛임?",SEXUAL,[11],['1']
니 가정 파탄나기싫으면 사퇴하라고,VIOLENCE,[10],['1']
ㅋㅋㅋ 김신영도 대구출신이노,Origin,[7],['1']
나얘기 아직 안끝났어 가만히 있지 않으면 저세상 갈수도 있어,VIOLENCE,[10],['1']
일본에서 저지랄했으면 극우들한테 방망이 찜질 당했다,profanity,[2],['1']
스타킹신은거 개 꼴리네,SEXUAL,[11],['1']
"달수가 얼굴이 못생겨서 무장해제한거가,,왜 달수고발한여자들은 순순히 모텔에 들어가노",Appearance,[3],['1']
조국추녀재명이 미향이는 더불썩은 범죄당의 얼굴 마담들 얼마나 썩었으면 전과 5범 사기꾼을 1위 대선 후보로 뽑을까???????ㅋㅋ더 이상 검찰 못믿어^^이미 더불썩은당이 검경공수처국정원감사원국회까지 접수^^언론까지 접수직전....어떻게 믿겠냐 특검가자^^반드시 무능무식무대뽀실패범죄의 대명사 더불범죄당 표로 심판하자,Appearance,[3],"['1', '9']"
내가 볼때 너도 수술해야할 얼굴인데,CENSURE,[1],['1']
씹똥송 개자스민 지랄한다.,Racism,[5],['1']
범죄자들 도피처가 목사 전도사 되는길. 신원조회하면 전과자비율이 제일 높은 직업군이 개신교일거다,Religion,[6],['1']
그런데 몰골이 왜 그모양이야?,CENSURE,[1],['1']
제주도 앂새끼들 ㅎㅎㅎㅎ전라남남도의 후손답노,Origin,[7],['1']
시청률은 안그런데 ㅋ,CENSURE,[1],['1']
도리도리 모가지를 꺾어버려,VIOLENCE,[10],['1']
저년들은 사람으로 살아가는걸 포기했냐?,profanity,[2],['1']
그거 다 떡 못치게 하려고 그런 거임,SEXUAL,[11],['1']
김일성이 적화후에 더 이상 쓸모가 없어진전라도를 말살 시키라고 유언을 남겼었지 ㅇㅇ,Origin,[7],['1']
