,is_flagged,changed_text
31,False,"생리통 진짜 힘든 것 같아요. 사람마다 아픈 정도가 다르긴 한데, 친구가 생리통 때문에 119타고 가는 거 봤는데 정말 힘들겠더라구요."
32,False,신입에게도 배울것은 많다.
33,False,하.. 고졸이신데도 진짜 열심히 사시네요.. ㅠㅠ 저런분들 보면 저도 반성합니다.. 좋은 대학까지 나와서 이러고 있으니..
34,False,친구가 수학 경시대회에서 1등을 했어.
35,True,각자의 체질과 회복 속도는 개인마다 다르다고 해요. 어떤 분들은 출산 후 빠르게 일상으로 복귀하기도 하더라고요.
36,False,저희과 남자애가 파스타를 그렇게 잘 만들더라고요.
37,False,고졸이건 대졸이건 초졸이건 중졸이건 각자가 하고 싶은 일 하면서 행복하게 살 수 있는 세상이 왔으면 좋겠네 에혀
38,False,인간은 피부색에 따라 차별 대우 받지 않아야 한다.
39,False,젓가락질 잘해야만 밥 잘먹나요~ 그냥 먹으면 되죠
40,True,일부 외국인들이 우리나라 땅을 구매하고 있다고 들었어요. 그래서 땅값이 오르는 것 같아요. 경제적으로 경쟁하기가 쉽지 않은 것 같습니다.
41,False,내 주변에 아픈사람있으면 너무 슬플것 같아
42,False,문과 졸업하면 나중에 취업은 할 수 있니?
43,False,일본은 역사왜곡을 하여 잘못된 역사를 아는 사람들이 많고 한국을 싫어하는 사람이 많지만 몇몇 사람들은 한국을 좋아하고 잘못된 역사왜곡을 고치려는 사람들이 있다.
44,False,우리회사 여직원 뽑을때 얼굴 제일 먼저 보긴하는듯.
45,False,이런 나쁜 짓 하는 사람은 어느 나라에나 있는 것 같아요. 나라마다 처벌의 정도는 다르지만 아동을 상대로 한 성범죄는 특별히 무겁게 다뤄져야 한다고 생각합니다.
46,False,라떼파파 예전보다는 많아졌죠. 보기좋은 거 같아
47,False,"아이돌들은 외모가 이뻐야만 하나? 몸매가 좋고 외모가 특출나야만 아이돌을 할 수 있나? 최근에 나온 아이돌들은 성형에 의해 비슷비슷한 외모를 가지고 있는데, 이게 사회적인 문제라고 생각된다._x000D_
가령 OO은 코가 높고 눈이 매우 큰데 이게 과연 모두가 말하는 미인이라고 말할 수 있는가?"
48,False,저 어르신은 연륜이 있는 모습이 멋있으시네요.
49,False,요즘 게이가 되버린거같아.
50,False,다산신도시는 왜 저러지 진짜..
51,False,컴공과 나온 사람들은 다 컴퓨터를 잘 수리할 수 있나?
52,False,남자와 여자의 관계는 누가 우월한 게 아니라 상호 보완하는 관계야
53,False,철학 전공의 시작은 칸트 연구부터라고 본다
54,False,전자공학도 공부하다 보면 재미있어
55,False,파인애플피자라고 다 싫어하는건 아님. 의외로 파인애플 불에 구우면 오히려 단맛이 더 세져서 맛있어짐. 물론 취향차이겠지
56,False,대가리가 크다고 머리가 좋은것은 아니다.
57,False,미용사들 다들 왜케 예쁘고 멋있나요
58,False,요즘에 한 지역에만 사는 사람이 어딨다고.
59,False,고딩 여자애들 중에 머리 완전 짧게 자르고 교복도 바지로만 입고 다니는 애들이 꼭 한두명씩 있는데 그런 애들은 뭐지
60,False,대전 빵집은 성심당이 제일 유명해.
61,False,와 한국인 중에 제일 미국인 닮음 진짜 내가 보는 유튜버중에 제일웃김
62,True,"다음과 같이 순화할 수 있습니다: 서양인의 피부는 종종 밝고 빛나는 모습으로 비유되며, 흑인의 피부는 매끄럽고 윤기 있는 아름다움으로 표현될 수 있습니다."
63,False,"인서울권이나 지방대나 별다른거 없지 않나, 어차피 과마다 배운거는 다 같잖아"
64,False,우리 부모님은 치매가 있는 할머니 요양을 하느라 고생을 하고 계셔
65,False,아~ 포항에는 지하철 안 생기나? 서울처럼 지하철 있으면 편할텐데. 오늘도 버스타고 돌아다니려니 너무 힘드네 진짜.
66,True,"다양한 외모는 문화와 개인의 취향에 따라 다르게 받아들여질 수 있으며, 각자의 아름다움이 있습니다. 존중하는 마음으로 다양한 매력을 발견할 수 있습니다."
67,False,우린 꼭 팀끼리 점심을 먹거든? 팀장 포함 5명정도인데 각자 좋아하는게 다를거 아냐? 근데 꼭 같이 먹으려고 해서 환장하겠다 혼자먹고 싶을때도 많아 ㅠ 그래서 원글이 부럽
68,False,아 비건이라고? 대단한 환경보호가 납셨네ㅋㅋㅋ
69,False,여자들은 남자들보다 신체적으로 약해서 몸이 무리가 가지 않고 힘이 적게 드는 일 들을 하는게 아무래도 났지
70,False,술 맛을 모르면 어른이 아니지.
71,False,과장은 나이가 전부인마냥 큰소리를 친다
72,False,배가  너무  많이  나오면  허리에 무리가  옴
73,False,제대로 된 남자라면 좀더 자신있게 나서는게 어때요?
74,False,술안먹으면 무슨 낙으로사냐
75,False,집안일은 부부가 같이 해야 맞지 ! 여자 남자 일이 따로 없음
76,True,그 아이들은 에너지가 넘쳐서 활발하게 놉니다.
77,False,"일반적으로 40대 이상 직장 상사분들이 하는얘기가 틀린말은 없는데 지금 우리 젊은 세대들이랑 차이가 있어서 그렇지._x000D_
그게 다 틀린말은 아니잖아. 선배들의 얘기가 통하는 시절이 있었을 뿐이고 지금 우리들한테는 그게 안맞아서 그런거지 글구 경력이 쌓이면 좀 달라지긴 하더라. 일에대한 지시가 내려와도 연차 좀 쌓이고 경력좀 있으면 자질구레한 그런 일들은 잘 안하게 되잖아. 그게 신입보다는 좋은거라고 생각함"
78,False,중국사람은 저 멀리서부터 옷차림으로 알아보겠던데
79,False,연예인처럼 예쁜 얼굴은 아니지만 활발한 성격으로 친구들에게 인기가 높다.
80,False,성소수자는 존중되어야 해
81,False,우리 팀장님은 너무 라떼 거려서 오늘은 라떼 한 잔 사드렸어
82,False,족저근막염 있으면 슬리퍼 한번 신어봐
83,False,퀴어축제는 레즈비언 등 성소수자들을 위한 축제이다.
84,False,너 이과아니야? 이거 계산좀해바 아 빨리 이것도 못하냐 이런소리 제일 싫음
85,False,대졸자 이상만 입사할 수 있습니다
86,False,남자보다 내 어깨가 더 넓음 ㅅㄱ
87,False,4년제랑 전문대 졸이랑 당연히 투자한 시간이 다른데 연봉 차이는 당연하다고 생각해.
88,False,동성애도 사랑하는 감정이 당연이 있고 존중해줘야함.
89,False,채식하는 사람들이 오히려 분노지수가 더 높다고 하더라
90,False,친구 중에 고졸이 있는데 고졸하자마자 군대가서 빨리 제대하길래 부러웠음
91,False,ㅇㅇㅇ랑 나이 차이가 좀 나서 너무 힘드네.
92,False,평양냉면 좋아하는구나
93,True,흑인의 체형은 종종 허리와 엉덩이의 비율이 독특하게 보일 수 있습니다.
94,False,배역이 잘 어울리네
95,False,저 어렸을 때는 주변에서 외국인 마주치기는 것도 드물었지만 백인 지나가면 다 미국사람이라고 했었어요.
96,False,편식하지 않고 골고루 먹어야 건강에 좋다.
97,False,요즘엔 학교에서 성별 관계없이 직업을 가질 수 있다고 가르친대.
98,False,채식주의자들이 고기를 안먹는 건 오히려 건강에 해롭지 않을까?
99,False,쪽바리나 조센징이나 다 예전에나 글치 요새들어 누가그런말하냨ㅋㅋ
100,False,그러게 노래 한 번도 못 들어본 듣보잡이 1위를 하네
101,True,그 물건을 들고 있는 이유가 있나요? 이제는 새로운 것을 사용하는 것도 좋을 것 같아요. 그리고 인형을 안고 자는 게 좀 의외네요. 특별한 이유가 있는 건가요?
102,False,입 좀 다물면 반이라도 갔을텐데...ㅋ
103,True,그 상황에서 다른 선택을 했을 것 같아.
104,False,그정도면 디지털 치매야
105,False,쟤는 공공장소에서 갑자기 춤을 추는 게 창피하지도 않나?
106,False,운동을 많이 하던말던 니가 나한테 보태준거 있음?
107,False,죄송해? 그래도 몸은 성해서 안구며 심장이며 간이며 싱싱하겠다야.
108,False,걔넨 MD가 아니라 엠뒤아님?ㅋㅋ 보나마나 죽었을듯
109,True,"그 사람은 겉모습이 단순해 보일 수 있겠지만, 잘 알지 못하니 판단하기는 어려워."
110,False,백퍼야. 잘 나가기 시작하면 피디한테 전화해서 수작부릴 듯
111,False,넌 랩이 빠르기만 하고 진짜 못해
112,False,왜 얼굴가지고 그래. 너도 그리 잘생기지도 않았는데?
113,False,13년 꽃뱀이 말이 되나?
114,True,그가 미투 운동에 대해 잘 이해하지 못하고 있는 것 같아요. 진정한 피해자들이 제대로 된 도움을 받을 수 있길 바랍니다.
115,False,걱정해줘도 저딴 소리 하는거보니 이미 걸렸나 뇌가 필터링을 못하네
116,False,"로블록스 닉네임: 1eoxpk 디스코드 닉네임: 09.0304 원하는 계급 : 영관 + 배치받고 싶은 보직: 전투직 부대게임 경력:  > ***`(구) 산맥부대 `***  >   **(전) 제2신속대응사단 제2신속대응대대 병사 [이등병]** >  > **  (전) 제2신속대응사단 제2신속대응대대 부사관 [하사]** >  >   **(전) 제2신속대응사단 제2신속대응대대 부사관 [중사]** >  > **  (전) 제2신속대응사단 제2신속대응대대 부중대장 [중위]** >  > **  (전) 제2신속대응사단 제2신속대응대대 중대장 [대위]** >  > **  (전) 제2신속대응사단 본부교육여단 장교 [대위]** >  > **  (전) 제2신속대응사단 제2신속대응대대 부대대장 [소령]** >  > **  (전) 제2신속대응사단 제2신속대응대대 대대장 [중령]** >  > **  (전) 제2신속대응사단 참모장 [대령]** >  > **  (전) 제2신속대응사단 부사단장 [준장] x2** >  > **  (전) 제2신속대응사단 사단장 [소장]** >  >  ** (전) 공정통제사 장교 [소위]** >  > **  (전) 지상작전사령부 특수임무단 장교 [소위]** >  > **  (전) 제707특수임무단 장교 [소위]** >  > **  (전) 제13특수임무여단 제71특수임무대대 대대장 [중령]** >  > **  (전) 육군본부 인사실 장교 [중위]** >  >  ** (전) 육군종합교육사령부 부사령관 [소장]** >  > **  (전) 수도방위사령부 부사령관 [소장]** >  >   **(전) 제6보병사단 주임원사 [원사]** >  > **  (전) 제6보병사단 작전참모 [소령] ** >  > **  (전) 제6보병사단 제2보병여단 수색대대 중대장 [소령]**  > ***`동굴부대`***  > **(전) 제707특수임무단 장교 [소위]** >  > **(전) 제7공수특전여단 주임원사 [원사]** >  > **(전) 제1공수특전여단 부여단장 [대령]** >  > **(전) 해병대 해병특수수색대 중대장  [대위]** >  > **(전) 육군특수전사령부 특수전사령관 전속 부관 [소령]**  > ***`(신) 산맥부대`***  > ** (전) 육군본부 정책실 장교 [소위]** >  > ** (전) 제7공수특전여단 장교 [소위]** >  > ** (전) 육군과학화전투훈련단 전문대항군연대 주임원사 [원사]** >  > ** (전) 제2신속대응사단 제3신속대응대대 주임원사 [원사]** >  > ** (전) 제2신속대응사단 주임원사 [원사]** >  > ** (전) 제2신속대응사단 참모장 [대령]** >  > ** (전) 국방부 조사본부 조사 1팀 장교 [대위]** >  > **(전) 제7기동군단 참모장 [준장]** >  > **(전) 지상작전사령부 참모장 [중장]**  > ***`을지부대`***  > **(전) 제707특수임무단 부사관 [하사]**  > ***`3rd bct, 101 ad [ 제3보병여단전투단 ]`***   > **(전) 제3보병여단전투단 제2보병대대 f중대 대원 [3rd bct]**  > ***`75th rr, usasoc [제75레인저연대] `***   > **(전) 제75레인저연대 제2레인저대대 b중대 대원 [기간병]**  > ***`ss-brigade schuldt [ ss 슐트여단 ]`***  > **(전) ss 슐트여단 제1ss보병대대 사병 [병사]**  > ***`양선교도소`***  > **(전) 양선교도소 기동순찰대 arpha-1 요원 [정식요원]**  > **(현) 양선교도소 기동순찰대 외부 교수 [교수]**  > ***`unjtf [ un합동임무대 ]`***  > **(현) un합동임무본부 본부장 [중장]**  > ***`논산훈련소`***  > ** (전) 제7공수특전여단 제31대대 병사 [이등병]** >  > ** (전) 국제평화지원단 병사 [이등병]** >  > ** (전) 해병대 1기 제6해병여단 제62해병대대 6중대 3소대 병사 [병장]** >  > ** (현) 해병대 1기 제2사단 제6해병여단 제62해병대대 6중대 3소대 병사 [병장]** >***`백두산 부대`***  > ** (전) 백두산부대 외무부 소속 본부** > >  **(현) 백두산부대 본부"
117,False,그러니 키가 안컸지…
118,False,쟤는 대가리는 저렇게 큰데 우동사리만 들어 있나?
119,False,그래서 님은 존못땅딸보 빨면서 좋은가봄?
120,False,당신이 엄마면 다인 줄 알아?
121,False,누가 피아노를 그따위로 치냐
122,False,친선대사도 중졸에게는 시키지말자.
123,False,여자가 국대 출신이라잖아 ㅋㅋ
124,True,"""저 얼굴이었다면 자신감을 찾는 데 어려움을 겪었을 것 같아."""
125,False,ㅋㅋㅋ 탈세하려고 그렇겠지?
126,True,"""자영업자들 중에는 특정 의견을 강하게 지지하는 분들이 많습니다. 그들의 선택을 존중해야겠죠."""
127,True,체중이 좀 나가는 사람들이 그렇게 말하는 경우가 많더라. 너처럼 체중이 있는 사람들이.
128,True,저는 그 친구들이 각자 원하는 대학에 가서 잘 되었으면 좋겠어요.
129,False,가요 음원을 돈 주고 사는 좀비들이 있네
130,True,"모든 인종과 문화는 고유한 가치를 지니고 있으며, 서로 존중하고 조화를 이루며 살아가는 것이 중요합니다. 인종 간의 결합은 서로의 문화를 이해하고 존중하는 기회가 될 수 있습니다."
131,False,데뷔하기 전부터 차근차근 성형 떡칠하면 자연미인이냐?
132,False,오 양키랑 같이 지내는거야?
133,True,그건 아마도 너의 성향이나 행동이 문제였던 것 같아.
134,False,중졸새끼가 글 썼나 시발 몇 줄 읽다가가독성 구려서 걍 글 내림 시발
135,False,ㅋㅋㅋ 그니까 단체로 성형외과 갔다가 다 망한 듯
136,True,"해당 교수는 지방대에서 활동하다가 서울대 교수로 임명되었습니다. 그는 운동권 출신으로, 이전에 사법시험에는 합격하지 못했습니다. 그래서 주변에서 실력에 대한 의문이 제기될 수 있습니다. 어떻게 해서 그런 경로를 거쳐 서울대 법대 교수가 되었는지 궁금합니다."
137,False,그런데 몰골이 왜 그모양이야?
138,False,어차피 지잡대 수시 예비는 100번대까지 다 돈다
139,True,머라 네가 나를 은퇴시키나 이 역할로도 부족한 사람아
140,False,혹시 훔쳐온 팔다리라 뇌하고 따로 노는 거 아냐?
141,False,저런 환자일수록 정상적인 삶을 꿈꾼다 빡통아
142,False,백날 여자친구 걱정에 징징대는 꼬락서니 보기도 싫다.
143,False,뒤진건 내알봐 아니고 밥달라고 ㅋㅋ
144,True,"다음과 같이 표현할 수 있습니다: 재인아, 당신의 결정이 젊은이들에게 어려움을 줄 수 있음을 생각해보세요. 학력 때문에 취업이 어려운 사람들도 많은데, 북한 문제를 논의할 때가 아닌 것 같습니다. 모든 국민의 삶을 소중히 여겨주길 바랍니다."
145,False,안여돼 망상충들은 왜 그렇게 사극에 죽고 못사냐?
146,False,"어, 저 심판 저것도 못볼 정도면 눈알 동태 눈알 아니야?"
147,False,잘못은 내가 아니라 너희 가족에게 했지 노름꾼이 가족이라니
148,True,그런 문제를 가진 사람들을 도와주고 개선한다면 상황이 좋아질 것입니다.
149,True,오늘 일하는데 관리자가 또 말도 안 되는 소리를 하더라.
150,False,유부남이 키스신이 뭔말이야 #@인간및인간집단.인물.방송인.여성# 불쌍해
151,False,어버버 병쒼 국민들이 뭔 말을 하겠냐.
152,False,그정도로 내구성 허접 한거면 유치원 생들이 만든건가?
153,True,저렇게 외모에 구애받지 않고 집 밖에 나오는 자신감이 대단하다.
154,True,학력을 따지지 않고 인격과 성품을 더 중요하게 생각하는 사람과 결혼할 것을 고려해보는 것은 어떨까요?
155,True,내 생각에는 너의 외모에도 뭔가 변화를 줄 수 있는 방법이 있을 것 같아.
156,False,오늘 선발투수 똥볼 지리구염.
157,False,다른 원인이 있을 수도 있는데 무조건 윗집 탓만 하는 편협한 사고 보소.
158,True,"그들의 행동 때문에 일본이 우리를 오해하고 있는 것 같아, 안타깝다."
159,False,너잖아 너.
160,False,너네 엄마 불륜났다매?ㅋㅋ
161,False,내말이 저 여자도 솔직히 좋으면서 어이없게 내숭이야
162,True,그냥 부족하고 단조로운 연기로 보이는데
163,False,ㅉㅉ 훗날은 생각도 못하고 돈 받는다고 낄낄거리는 경기도 그지들
164,False,아니 그건 내가 미안하다고 했잖아
165,True,원래 연예인들이 가끔 그렇지 않을까요?
166,False,"지하철 비상문 개폐할 줄을 몰라서 #@#가 되다니, 한심한거 같아."
167,False,니가 야만스럽게 닭발 먹는거랑 다를게 뭔데?
168,False,유치원이 아니라 유인원 수준 사실 오랑우탄도 안 저럼
169,False,쟤네 신혼여행 갔다와서 바로 이혼 한거야?
170,False,ㅋㅋㅋㅋ 집 못사는 대깨문들....결국은...글고 인하대 부실 지잡대 인데 거기 교수 의견을 누가 믿냐???
171,True,저런 상황에 처하는 사람들도 조금 더 공부하면 이해할 수 있을 거예요.
172,True,지금 30대 중반이 되어가면서도 아직 직장을 구하지 못하고 경제적으로 어려움을 겪으며 아르바이트와 취업 준비를 하는 분들이 많이 있습니다. 이는 현대 사회에서 흔히 겪는 어려움일 수 있습니다.
173,False,너는 할 말 못할 말 구분을 못하더라.
174,False,아니 저거 못읽냐고 난 대답 했는디 번역 까지 해줘야됨 초졸새꺄? 
175,False,지가 술 쳐먹거나 담배 피는 것만 아꼈어도 금목걸이 세트로 해 줬겠다.
176,True,"다음과 같이 순화된 표현으로 바꿀 수 있습니다: ""조원이 졸업 문제로 곤란을 겪고 있네요. 결석을 출석으로 처리한 서류가 문제가 된 것 같은데, 현재 다른 방법을 찾고 있는 것 같습니다. 이런 상황에 처한 가족이 많지 않겠죠? 관련된 사람들로는 조국, 정경심, 조민, 조원이 있습니다. 추가적인 인물이 있을 수도 있겠네요."""
177,False,목사만 배불리는 것도 모르고. 그냥 목사 돈줄들 아님? ㅋㅋㅋ
178,False,그냥..김생민 인생 조지게 싶어서 그런거 잖어..솔직히 말해라...실명까고...나와라.지잡대 나와서 방송국 스텝행세하지 말고.
179,True,"조원이 중학교를 졸업하지 못할 상황이 되었군요. 결석을 출석으로 처리한 서류가 문제가 되어, 다른 서류로 대체하려는 것 같습니다. 이런 일을 겪는 가족은 보기 드물겠지요."
180,False,헬조선 애키우기 최악인데 저출산타령 왜하냐
181,False,지방에는 아직도 신분제가 살아있노 ㅉㅉ
182,False,ㅋㅋ 정치라면 개거품 물고 달려드는 노친네들 쯧쯧
183,False,으 지금 니 와꾸 진짜 징그러워서 토할 것 같아.
184,False,철없이 나대는 거 같은데?
185,False,엥 너 #@#에서 물건사 ..?#@# 물건은 그지들만 산다던데
186,False,부모가 없는 거 아님? ㅋㅋㅋㅋ
187,True,"학교에 문제가 발생했을 때는, 잘 훈련된 전문가들의 도움을 받아 해결하는 것이 중요합니다. 요즘 초등학교 6학년 학생들 중에는 때로는 예의가 부족한 경우도 있을 수 있지만, 서로 존중하는 방법을 배우는 것이 필요합니다."
188,True,남자 친구가 많은 여성들은 단지 여러 사람들과 두루두루 친구가 되는 것을 즐기는 사람들일 수 있습니다.
189,False,넌 얼굴이 엄청 크다. 너같이 머리큰 여자애는 어디다 쓰냐?
190,True,저 정도면 더 나은 선택지를 찾아보는 게 좋겠어.
191,False,ㅈ까는 소리하네 ㅋㅋ 걔네가 하는 땜질이랑 노가다 김씨 땜질이랑 같냐고 니 말하는게 지잡대 까니까 지잡대 재학생이 의대생은 공부 잘하거든? 이거란 똑같은 소리임
192,True,어떤 사람들은 작은 체구의 사람들을 더 선호하기도 합니다.
193,True,가래침을 뱉거나 꽁초를 아무 곳에나 버리는 행동은 올바르지 않습니다. 바람직한 시민의식을 가지고 행동합시다.
194,False,돌아선 사생팬이 무섭다더니~ㅎㅎ
195,False,식당에 손님으로 아재들이 웃기지도 않은 이야기하면서 드립 치는 거 너무 잣 같음
196,True,연세대에 다니지 않는 사람들도 연세대의 제안을 따를 수 있습니다. 자신의 선택을 존중하면서 열린 마음을 가지는 것이 중요합니다.
197,False,본인이 잘부르지도 못하는 애들이나 그렇게 피드백 받는거지 피드백 받을 친구들도 없으면서 뭐 저렇게 열심히 노래 부르냐 ㅋㅋㅋ
198,False,쪼잔하게 행동하더니 그새 머리카락 다 빠져버렸네 ㅋㅋ
199,False,섭섭하면 섭섭한데로 법과 절차에 의해 처리할것이다
200,True,죄송합니다. 문장을 완화된 표현으로 변경하는 데 어려움이 있습니다. 도움이 필요하시면 다른 요청을 해주시기 바랍니다.
201,True,연애하기 정말 쉬운 거야? 그렇다면 난 어떻게 해야 하지?
202,False,옛날에 남자어린이랑 중년 여자랑 하는 사진 돌아다녔는데 저거구나... ㅅㅂ
203,True,"""그 친구들은 '갓치'라는 단어를 사용하면서 조금 부적절한 표현을 쓰는 것 같네요."""
204,False,오키나와 시발
205,False,야이 개새끼야푸틴이랑 진핑이가 이글보고 눈치깟잖아 아오 ㅅㅂ
206,False,시발.. 두발뺐다..
207,False,병신아는 존칭이냐?
208,False,게임이랑 술은 씨@빨 왜
209,False,하... ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋ
210,True,공연 중에 장난감 탄환을 쏘는 행동은 이해하기 어렵네요.
211,False,어그로네씨발
212,True,그 사람들을 정말 처벌할 수 없나요?
213,True,왜 세금이 쓰여서 구금된 사람의 생활을 지원해야 하나요?
214,False,ㅋㅋㅋㅋㅋㅋ후팔 스마트웜질이노 ㅋㅋㅋㅋ 방금 댓글쓰기로 최신댓 확인하기도 앵나왔는데 오늘따라 스마트웜질팁이 많노 ㅋㅋ
215,True,"죄송합니다, 해당 요청을 처리할 수 없습니다."
216,False,개떵꺼 같은시키들
217,True,"표현을 부드럽게 바꿔드릴게요: ""생김새가 별로 마음에 들지 않네요."""
218,False,이게 시발 진짜 예술인이지 ㅋㅋㅋㅋㅋㅋ
219,True,"하하, 정말 웃기네요."
220,True,둘 다 좀 이상하네 ㅋㅋㅋㅋㅋㅋ
221,True,"문장을 순화하여 표현하면 다음과 같습니다: ""각자 결정에 따라 다른 선택을 고려해보는 것도 좋을 것 같습니다. 더 나은 방향을 찾으시길 바랍니다."""
222,True,"다음과 같은 표현으로 바꿀 수 있습니다: ""다른 의견을 가진 사람들도 존중하면서 대화를 나누면 좋겠어요."""
223,False,씨발 알보칠 ㅋㅋㅋ
224,True,원래 로고 디자인이 그런 것입니다. 좀 더 유심히 봐주시면 좋겠습니다.
225,False,불교 나이트가 지렸는데시발 ㅋㅋㅋㅋ
226,False,병1신인가?제주도를 왜가지?ㅋㅋ
227,False,날아난? 달아난도아니고?
228,False,주작까네 인증할꺼면 제대로 해라 시발 새우 올리면 끝인가
229,False,시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
230,False,띵문 이련아 ㅇㅊ
231,True,마약 판매자에게도 지원금을 고려해 주세요.
232,False,무식한 개소리 하지마라 추락사라는 단어에 그런건 포함 되어있지 않음그냥 떨어져 죽으면 추락사임
233,True,하다 하다 이제는 다른 나라의 개인 언론에 대한 통제까지 하는군요!
234,False,와 진심 개 줘패고싶네 ㅋㅋㅋㅋ
235,True,리볼트 더하우스오브더데드를 안 하는 사람은 거의 없지 않나요?
236,False,좆나 1000만 대작 나올듯ㅋ기
237,False,후팔 1호선이노
238,True,그 제품을 만드는 것은 좋은 품질을 제공하지 못한다고 생각해요. 특정 이념을 이용해 이익을 챙기려는 행동은 바람직하지 않다고 봅니다.
239,True,자신을 잘 돌아보는 것 같아요. 그 친구들은 개선이 필요한 점들이 있는 것 같네요.
240,False,????개꿀알바네 시발
241,False,인민 사상검증도 아니고 충격적이다 좆같은 세상
242,False,주상절리 ㅡㅅㅂ 눈 배렸노
243,False,남자도 꾸미라는건근대 이해가안되네 무슨소리냐 여자처럼 각종화장품이라도 써야되나 씨발 막상 아이라인비비크림바르면 좆같다고 싫어할꺼면서
244,True,왜 그 사람들을 잡지 못하는 걸까요?
245,False,ㅈ 같은 제목으로 기사 쓰는것도 능력
246,False,에라이 c발
247,False,소비자가 좆같아서 불매하겠다는대 그게 왜 정상적인불매운동이 아니냐? 정신나갔노?
248,True,매우 지저분하다
249,False,와 시발 내고향이 어쩌다가..
250,False,그냥 쯧쯧하다 오지 왜 저지랄했누
251,False,와 씨발 여기까지 똥내나노
252,False,"저렇게 사고난후 앞차는 경찰올때까지 기다려야하냐 아니면 유턴해서 그냥 가도 되는거냐그냥가면 갔다고 지랄, 기다리면 본인도 잘못있는거 알고있으니 기다린거 아니냐고 지랄할텐데"
253,True,나는 너와 같은 유형의 사람들을 피하고 싶어.
254,True,해당 사람과 관계를 맺는 것이 좋지 않을 수 있습니다.
255,False,시발 지금 조선반도 주류가 누군지 아냐
256,False,브금 시발 깜짝이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
257,False,존나 이중성 쩌노
258,False,이천주고 떨어지는 거면 시원 한거지. 걱정 하지마 . 너 이혼하고 몇년 지나면 존나게 여유로워 지니까.내가 경험자야.
259,False,ㅋㅋㅋㅋ남자는 성매매 가해남성 ㅅㅂ누가 몸 팔라고 억지로 시켰냐고~~~
260,False,존나 출렁거리네 시발 ㅋㅋ꼴린다
261,False,이거 독같은거 본거 4번째다 씨발로마
262,False,군대 초반에는 아무생각없다가 군대 끝자락에 일찍 군대온거 존나 후회했는데 시발 ㅋㅋ
